,gender,text
95,0,photo snow queen vlad barbe kid amp family the snow queen fairy tale han christian everything need news crew presence
96,1,fool three time fuck the peace sign load the chopper let rain you ent est bem sport clube portugal
97,1,the world esp eqanon island need more people like amp amazingladies the island official magical creature omg you can just ask why white avi header be ambassador
98,0,don bother with kiwisaver until the kickstart fund restore help build supercomputer because one make giant robot anyhow keep busy until the send mar all tweet
99,1,matter the result word can express how proud all the dedication these new amp old member give leave speechless
100,1,hello from the nah train like you be pick for the hunger game
101,0,come into the game when white rapper weren cliche spittin that truth look for miracle you fuck with the right one jess
102,1,yep just have wait until the next day year old marry broad makeup artist stylist raise beautiful girl strong beautiful woman wife roughneck
103,1,see the scene spot ravensymone out and about earlier this week creolemixed borninneworleans raisedintexas love god family friend education sleep text food movie music clothes makeup nature animal color
104,1,too much swag the acoustic version you be too cool keep silent make laughter have the end with vibrato lol name louanne great fan justin bieber and love you
105,1,listen discuss his exclusive reporting potentially fatal flaw ejector seat national security foreign policy editor pulitzer crisis center grantee former qatar expat medill grad retweets not endorsement
106,1,yes would love throw the hat for couple local folk over happy arrange meet writer stoop hen into book punk and gin writes for cash work foul mouth cyclist
107,0,coffee taster flavor wheel from the scaa coffee the ultimate gourmet coffee store from espresso whole bean coffee
108,0,have chance for the first time decade elect someone who will not own lobby group big corporation saudi arabia christian conservative baptist believer constitution and founder own book business republican theologian historian
109,1,finally realize never get the answer want
110,0,saw and meet five month ago today forever grateful for the opportunity be give already perform not alternative but not pop lie
111,1,starbucks mobile order come the mobile marketing emarketingmkt
112,0,the little thing you always get heated
113,0,pennsylvania believe yourself the first secret success tweet thing around pennsylvania like and enjoy interested twitter marketing save today info com
114,0,corporate welfare the bad dark fund for the military industrial complex another all these post with health nut retire teacher family man programmer developer technician cnc entrepreneur more god
115,0,rapper tyga appear the next season kuwtk and will get per appearance see more you dont need much about cuz action and character will tell you who kingabdul
116,1,earth teach quiet the grass be still with new light sick from the lip caramel wan na try bafhouse teamprettypothead the perfect balance between badass and feminie hempress empress
117,1,not for the fake friend good day hampton university
118,0,nothing like the midwest have great weekend the ruffin wed glad all come together owner jlj holding llc real estate consultant owner feel real estate service llc
119,1,take back the time when your clothes take drawer finna light vancini
120,0,mentally ill woman with her two pink dye poodle threaten shoot someone follow the throw solar power sigh machine mostly footy talk
121,1,just face time him like min ago and they the airport dallas get plane hour they okay insta brownlouise
122,1,luv them photo for the best busty boob click here imagebustyfriends bignaturals czech adult model and pornographic actress with inch natural breast currently livin london you can follow and retweet every day luv
123,1,the woe tammy kredo
124,1,isi launch bizarre new weapon war against the infidel float condom bomb video that evil conservative obama warn you about pro palin conservative pro life
125,1,too excited spend halloween night the pit with amp love jesus miranda lambert jle leopard print little jack coke
126,0,steidl amp steinberg understand that owe money the irs the state scary can help help over people with debt tax and estate problem since friendly seem with our experience why anywhere else
127,1,amaze follower the last week and there will more tomorrow grow with uomo non disposto correre qualche rischio per sue idee sue idee non valgono nulla non vale nulla lui cit
128,0,drug greed and kidnap plague dani and liz bluewater ganja the bluewater thriller ian sail full time cruise sailor writer abide interest book boats the sea and classic guitar
129,0,isi launch bizarre new weapon war against the infidel float condom bomb video
130,0,phone and ipad be go out the window minute omg cant breathe joe faved caspar say that and meet joe don want the british justin bieber want the first conor maynard conor maynard meet joe caspar call babe
131,0,the sky make weird as noise jyp nation september park jaehyung call broski
132,0,the long running play america set open nyc for the time creator location education the nation premier educational consulting service for young performer passion for education film theater crime drama
133,1,voteonedirection amas artist the year onedirection directionerforever criminalminds harmonizer abrahamers afonica soy liam girl selly
134,1,alysha half mom and half world great friend the group soco randolph college hard leave until you leave then the easy goddamn thing the world
135,1,the creep again construcci literatura lisensiada estudios ingleses zurda mel mana peligro constante solemnly swear that good
136,0,and that apparently contract despite the whole spiel about contract when get phone geek gamer writer beard advocate don the twittermafia
137,0,the one you fall love with you should feel like nothin else matter terrani dad she come before everybody rastaman
138,1,the fate europe net neutrality will decide tomorrow lover all outdoor thing subtly charm geek massage therapist mindful
139,1,get the job
140,0,sell the recruiting process isn gamble thecandes tchat hrtechconf talent board tchat show founder host ta hcs certify recruiting writer wannabe drummer grateful father
141,1,just buy ticket for post war glamour girls the cookie leicester from via sure fine whatever
142,1,the likeness your face purely disgust mean honestly look yourself the mirror for mor soo seon smol
143,1,the role the hippocampus long term memory author the novel trip aret
144,0,stats for the day have arrive new unfollower stats via you like about your buisness
145,0,october and the apostrophe publishing author writer gay romance gay erotica and lgbt literary fiction choose carefully amz
146,0,option the best
147,1,artistoftheyear amas from all the four album heard fav but could change rly fast when hear the fift love like car accident they hit you and you fall and then you survive don survive love each other cuz our weakness be the same
148,0,fantastic launch all apps now run smoothly oneplus one thank the quad core processor when the go get tough the tough get go
149,0,new unfollowers and new follower hello hello the last week via formerly lead edelman indonesia public affair across asia join september senior vice president brazil lead
150,0,except for couple broken play the jet do really good job counter what new england do well and exploit weakness feature nfl columnist and gameday writer for bleacher report former army engineer lover all thing sarcasm and satire pfwa member
151,0,look ken barlow put audrey roberts the old rascal
152,1,the fact that don need want anyone matter what up and down happy sad moment always here for gaga saw her she follow and notice many time
153,0,the lookout swazijive united wife kid that order mufc master degree banterology not arrogant just well red devil iam makhubu
154,1,you know there squirrel emoji wait your not part the iphone family just lay back and enjoy life austin cole
155,1,way you go the opening act aren you love sing dance food paint tom bertram lol awesome like that viner follow varsha nair
156,0,hype excite for the new season play offs and who team will win and who the star thisiswhyweplay sweepstakes primo deus god first music
157,1,photo the chronicle emerland solitaire game adventure mac app naturally and artificially flavour
158,0,hey guy decide maybe for minute the most each day follow for fut io android bargain giveaway use pic legitjaz you win giveaway bargain you want sponsor any giveaway
159,0,be super hook the woodland tortuary talk vegan marry batman the simpson metal harsh noise
160,1,come here with the bad attitude while try help them carla malto iixii
161,0,hot the press classic professor haverford canophile yankee fan occasional gardener and onetime sailor
162,0,any update when you can use the site again name kevin dota player from germany follow know when start stream
163,0,thanks for the shout out look pretty good for famousname partner firm expertise interest crisis communication management public policy economic development medium tech aviation and healthcare
164,1,also where be all steven interview emily do about million after beth die amp do all the other actor afterwards hey norman how do andy dick feel click link find answer
165,1,happy birthday beth hope you have the best day instagram oliviamockford
166,1,this still the sweet thing ever and you two make night time ghost
167,1,like the purple but you seem more green person sagi babe
168,0,fairly normal for someone who could die the other night tho brooke writer artist video game fanboy they them snapchat thequeenbrookie
169,1,people say nice thing about this game particular make feel like maybe do the right thing after all make bird enix weird develop fallow she her
170,1,kid party and be the one get fun out the balloon can never take any all complain and get drunk
171,1,now you already have the one appreciate him well muhammad fitri adam
172,0,via jewish voice for peace analysis racist blame the victim argument which dehumanize palestinian and singer arranger music producer
173,1,congrats enjoy the and new phone treatyourfamily aba instructor grad student couponer deal hunter freebie snatcher blogger iphoneography lover and social medium butterfly
174,0,the game tonight can hit total point more scratch offs will come way doesn matter how slow you long you don stop westfield insurance pinnacle sport gobrowns gobucks believeland
175,0,gala bingo club buy for the large high street bingo operator gala be take over businessman entrepreneur internet marketer earn single day with this remarkable new idea free video for all
176,0,daily caller always win the contest most quickly take joke tweet entirely too seriously wapo national reporter seek truth give voice the voiceless shine light the darkness other consideration be minor importance
177,0,artist the year amas niall horan como respuesta todo larry como geno liam baby zquad zayn girl
178,1,isn she the one that hat dude for wear suit taylor
179,1,remember when esteban be call the dead but get put hold will into survival mode tickle
180,0,more hour until spectre red bull the ready newly marry kid everton rule
181,1,american find weird eat fry with mayo co all the time get normani video
182,0,thanks polish sausage for the follow commercial director zignia live member the board water happiness
183,0,sample the fall color encounter during our day hike mount leconte this picture be
184,1,when find out advisor put all the wrong class this semester year behind fuck dummy
185,1,love the harrypotter sky channel abbey gilbert be all work progress
186,0,tell stand monsanto and protect gmo label sign the petition righttoknow darkact
187,0,just send you describe the issue and the email address associate with account nerd wrangler riot game
188,1,last week teacher say that go hbcu doesn give you accurate perception what the world like and still not over like call myself writer melanin curl pro woman pro black reader blogger
189,1,ican turn from side side this damn bed havin sit all the way mommy leighceriyah
190,1,win the fight kns pushawardskathniels come from different family biologicaly but our heart beat one kathniel
191,0,news amazon celebrate new vinyl store unveil the day vinyl edm followback
192,1,the fact that miss you much make want cry drop out just can move cali good vibe only
193,1,haaa just put your lipstick over you have the perfect pout just open your eye something beautiful happening
194,0,rise play without minute restriction season opener the chicago bull will open new era under coach polinema tek informatika basket polinema like basket how about you
195,1,holiday candy course learn the art gourmet candy making and make gourmet chocolate your own kitchen how quit pay for expensive medical visit and fake fix and eliminate his frustrate nagging and constantly repeat low back pain
196,1,start like the new conner family little coronationstreet love read favourite book series fifty shade grey fan stephen moyer and jamie dornan love watch true blood big rookie blue and mcswarek fan
197,0,colt here sure nicole amp colt edward group will start our fun and game for the release reckless brand development manager and husband new york time bestselling independent author
198,0,new unfollower the last day via bueno hola llamo kevin tengo viivo donde gusta cantarl soii tiimiido add facebook amo novi
199,1,that the way you drop bigtits boob tit only big tit picture from site
200,1,when work out amp exhausted feel like break down any sec listening hall fame always give the kick need swiftie forever always the script cat music travel tennis basketball ice skating can play the guitar piano ukulele bit
201,1,men shirt breakingbad walt the danger white tshirt size medium new bestseller auction relationship can survive the long term why earth would worth time and energy for the short term deal bargain forsale onsale discount
202,1,literally look old song for the rest the day waste
203,0,yeah have nail mat the floor crazy toy the attic crazy truly go fishing they must have take marble away
204,0,the ada and you how do this regulation affect your office askhcsi family less more influence healthcare compliance triathlete askhcsi
205,1,easy that you leave the pencil huh lol
206,0,would the affair easy watch the kid weren such brat spoilers the showtime series the affa
207,1,prepare for the bad but still pray for the best longwood basketball dad portia tony
208,0,check out work the consent receipt and safe harbour via consent analysis socio legal technologist inventor conset receipt focus personal data control
209,0,never goin find the right girl free omb only fear allah real demon loose screw
210,0,dude the jamaican semper paratus
211,1,could kings the world wait for gandalf come house and invite adventure from which will not expect return
212,0,yes and they be bad last night but bradford also have the bad off target the nfl go both way greek god stats for espn christ follower moneyball disciple punk rock enthusiast lebanese food connoisseur
213,0,massimolandi newyork newyorkcity nyc the wall street bull economia economics blogger intermediario assicurativo esperto pallacanestro livornese tifoso del milan della libertas livorno webdesigner webmaster blogger politico
214,1,thank you for be nice you fave art but even the best artist couldn draw you follow please hey angel
215,0,quad and half kill start off the round block party play slip into steam little arab insta little arab kik ahmadabed
216,1,now back this bitch that think okay that the word what good who care what people think
217,0,trey wingo just do jim halpert look the camera when herm edward be talk have arm and leg
218,0,let not forget the running back too you can even stop the pas game they have pretty skilled lineman fullback bruh
219,1,want the new and old want the want rehaul want what vanneka want
220,1,wonder how grow twitter gain follower the past week this the app please block
221,1,photo elite squad the enemy within jos padilha action amp adventure elite squad just small town girl convince that she be bear the wrong side the mason dixon start
222,1,just finish htgawm and much be reveal the last minute think die spooky bisexual teenager intersectional feminist be feminist kid
223,0,who go the first one say goodbya wael abdelkarim
224,0,side nikka the year
225,1,review notorious rbg the life and time ruth bader ginsburg attorney speaker and legal analyst and
226,0,huge fan the patriot but some you be just ignorant second floor tootsies gettin shoulder rub
227,1,leonardo davinci just iron rust from disuse even do inaction spoil the intellect communicator coffee enthusiast infuriatingly humble music nerd subtly charm internet guru alcohol fanatic
228,1,photo the future the internet stanford continue study program computer science the just girl want big thing out life
229,1,photo persian circle the university chicago middle eastern study persian circle the any question
230,0,view from the west stand pretty much go write itself when play staines perfect draw for lofc leyton orient blogger and author promise tattoo face for this stupid club and what thanks do get lofc
231,1,hoard voiture possess the benefit together with commbus ljfxuqxrp
232,0,wles soa maravilhosp verdads artist the year amas nois noa precisa nenhum papel prefeitura
233,1,new tweep follow the last day find relevant people follow with the copyfollowers feature veninataviveci
234,1,interesting thanks for the read life not about wait for the storm pass about learn how sing and dance the rain
235,0,all the computer hack technique describe be real social engineer currently free kindle mystery thriller will entertain you while scar you into change all your password author social engineer and invasion privacy
236,1,put away for the plain style order the greenpoison afnxwkg
237,0,thanks vincent photog for the follow commercial director zignia live member the board water happiness
238,1,photo raabs der thaya holiday the waldviertel raabs der thaya raabs der
239,0,ight get you about you the credit thing hold real quick drive real quick get log bmi publish producer songwriter just make wavy music from the odd plug witthat for beat inquires email pianoboytod com
240,0,dharma bum well than the road make the bold statement today brave kind tall with hair wear shirt sometimes build mystery
241,0,follow wwehiac and ahead raw tonight here how book monster wrestlemania metal hammer deputy editor whatculture wwe goon neeerrrrrrddddd
242,1,for the best vpn exponent order yours crew want ocqgih
243,1,photo the back the pumpkin and lily do halloween pumpkin pumpkin carve aunty nut have blog love tea love candle space doodle
244,0,mlg time the bus not frog
245,0,listen the pig hunter rmx renaissancepodcast edm madeinitaly producer sevenstudio italy book info entertainment
246,0,add video playlist jem react the new jem and the hologram trailer actor writer filmmaker father husband gamer fanboy and get what take rock the mics right yeah
247,0,seem though someone have something the work that what mean all along really
248,1,the history bitcoin enthusiast
249,1,get the outdo preliminaries turn yours need stpikn
250,0,the house science committee bad than the benghazi committee formerly know the subway serenade now know the astral technician currently develop global biofeedback laser tag
251,1,the best thing the world knowing yours and you mine
252,0,and have listen christmas carol the whole way there paper chasin paper runnin paper gunnin paper gettin paper havin paper catchin dont forget that paper grab
253,0,the little smiley face like boybands and read book bit obsessed with emmerdale robron instagram rachelh
254,0,oomf cute without the swear boy trust one ripspann talk about you just might get head bus dreambig amosc phineasandferg
255,1,peep the back get what want cause ask for not because really that deserve
256,0,say cap bcus simple and be make complicate actually perform big part win all the above host primetime
257,0,where be when the good one be be take cool kind confuse
258,0,mcg cmk the movement and stop all this fake claim yall ain with the gang freejalen llh
259,0,wish be sure the feeling mutual lol allergic cheatin and hate failure and love with achievement
260,1,you pull back when man say our out line but when the woman your dissing do you don care damn the man socially awkward extrovert sianchristinak
261,1,happy happy happy belated birthday the one and only dirtydonniedamnit kristian bruun hail the moon tell your father your friend you cant lock the door cause shes already life saver manager
262,1,our table mat the beautiful room for fooddrinkandtourismawards lover life and all thing artistic creative beautiful especially people mama
263,1,be actually go make calendar from all the cat pic have from time greece have many travelpics traveler writer host beer drinker kitty petter independent travel off the beaten track and volunteering
264,0,week the day since have one the best day with absolutely can not month before the next time live with depression try end stigma poor mentalhealth whitney fan nice watch amateur photographer gay graduate aspire journalist
265,0,trigger email the killer conversion app marketer have be use spray and pray tactic for decade start web researcher get passion seo now work seo analyst sem ppc inbound market smo lead generation tweet seo general thing
266,0,lol you hit the low note writer lyricist coffee enthusiast world class barista semi pro mixologist mbonisigusto com
267,1,one the great unsolved mystery all time thezodiackiller online write school with top instructor and great class affordable price
268,0,the most badass car date alex clifford clarkston varsity bowling srt also pool shark class wichita maybe
269,0,pqp artist the year amas only fools fall for you azul verde ddl zayn troye
270,1,the revelation the pugilist yet whichever order attend since continuity buy conjoint mbcqovo
271,1,the one clinton
272,1,photo the news from lake wobegon from prairie home companion august garrison keillor apple freak girl and love game
273,1,tru but tbh they all leave for pretty much the same reason ppl should either against all them with all them like
274,0,remember the time you want race mexico but the police pull you decide burn out their face they chase you life too short drive boring car slowg
275,0,like video artist reveal the satanic industry fight the good fight faith lay hold eternal life whereunto thou art also call timothy jesus christ the only way bachelor degree bible study
276,0,gala bingo club buy for the large high street bingo operator gala be take over internet marketing adsense money youtube tip make money online with adsense youtube
277,1,andddd lose count how many time already watch the trailer someone help meeeeeeeeee choose happy you don own all the problem the world emison hollstein xena gabrielle
278,1,the most likely next president hillary clinton
279,1,photo the case for christ lee strobel christianity the case for christ lee strobel genre food fanatic incurable troublemaker
280,0,the rest these worker be hat cause chill and listen music lol skateboard money bml
281,0,what that person fear the outcome stop his hers action and word
282,0,let honest she go the average working class college they just tell her piss off
283,1,one the great unsolved mystery all time thezodiackiller web marketing expert specialize book promotion
284,0,fuck that just stick the weeknd repeat don quit suffer now and live the rest your life champion muhammed ali box for chadd abc loyalty everything derby season ticket holder
285,0,photo the graveyard book unabridged neil gaiman kid amp young adult neil richard gaiman don think for second that actually care what you have say
286,0,vinod khosla step off square board advance its ipo vinod khosla have step down director the fan football fan club africain fan wwe fan counter strike
287,0,limit the carbs damn osceola county rep record artist pen pimper peace seeker positive vibe pusher homelessmillionaire for all business email allenyorkmusic com
288,1,this would the day that permanent valencia filter face would come handy yiza nosleep follow instagram taylor swift dancer sytycdc top female
289,0,blog even fat cat hat the twin city commute host the morning grind morning minneapolis podcast soundcloud also there app lean leftwards
290,0,flash light the photograph kelty will kelty classic see kelty company don make permanent decision for your temporary emotion
291,1,just agree custody for the real dad and leave the kid alone for now hasn be clean long enough drphil custodydrama mom currently divorce comic crohn advocate phil social medium contributor member inner circle
292,1,cant wait for wednesdays game like fun activity utsa spursnation
293,0,one the great unsolved mystery all time thezodiackiller retire sea captain be bear england and eventually emigrate the united state where continue write for own enjoyment and comfort
294,1,photo hover disc the essential multiplayer game game family ipad app student university cambridge
295,1,this the only day come work without get mad god first jiggaworld november clothing line come soon
296,1,why colour die advert always have young woman say see grey hair who the hell have grey hair that age anyways old than you think
297,0,number crunch for the past day new follower and unfollowers stats via instagram josealejandro skype
298,1,you don ask try the answer will always
299,1,header swear its the truth she clothe with strength dignity and laugh without fear the future proberbs bh senior free brother codey
300,1,what would have give be the underground club scene the enjoy weather
301,0,number crunch for the past day new follower and unfollowers stats via vendedor sue tambien vendo libros
302,1,girl the month instagram briannaamurray
303,0,zbb play our last seasonal gig jude good time have all remember the more you drink the good sound professional rock roll accordionist bomber forever
304,1,tv scooty quintessential feature the two wheeler jptsx
305,1,wish the real world would just stop hassling
306,0,just google the gum look like big white sheet paper ryan former cohost get board pod unknown recycle garbage lose vhs for your viewing pleasure
307,0,wheres the man teambelize gemini stapleton eastny ballwaslife
308,0,hope pierre neuville win the wsop love the way stand there like wait for the guy just bust high five him support west ham live eat macarons support west ham there be would silent proud husband father gorgeous girl may
309,0,why they have grimy amp not count the apple stream how dear they yea have man buy mad snack wuts good
310,1,fall just across the street follower jesus christ lover life and people enfp starbucks partner
311,1,total fail the funny people walmart eat healthy food stay healthy
312,1,should only disseminate where the express consent all the party involve have be obtain professional writer thinker fitness enthusiast football lover angostura rum barcelona
313,1,animate gif number for the best busty boob click here imagebustyfriends hardcore czech adult model and pornographic actress with inch natural breast currently livin london you can follow and retweet every day luv
314,1,recreate your turnout near the pitching performance relation stuttgart aymzsj
315,0,you really like answer the oncers you amaze just another try hard fit right
316,0,the tame the queen unabridged philippa gregory romance philippa gregory kenya love connect with you online amherst milwaukee dayton rudolph neenah
317,0,let the boy live snapchat juhnior
318,1,yeah work not the move glenoak junior just young girl try make out like everybody else
319,0,chill the selfie area be sweat out eggwars all day bestgamemodever male from west midland england spain quality gold chill computer and xbox the time youtube munkychunky joeysalads ftw
320,1,what there be winter version the yamaka
321,0,same situation with how many time the big club play each other twice blood make you related loyalty make you family
322,0,thanks for the retweets this week much appreciate director pay search
323,0,angry all the time about hint why never hang out with you guy lel
324,0,really like the first ovas but then the third have hour long rape scene hell and be like uhhhh think out almost never tweet when have good right
325,0,huh supergirl air today aaand now get disturb image jeb sit snuggy front the with box kleenex ready intelligent funny narcissistic lazy as introvert the math jaguar
326,0,when you get your english classwork all do the first day release don let anyone tell you that you can love what you until you don love anymore nothing impossible chowan
327,1,when take selfies when look the mirror
328,1,eternally grateful for the woo woos and miss grubby puffle you miss the shot you don take wayne gretzsky michael scott
329,1,lauren holiday retire go hit the most when they play the next game and she not the start line bianca heart mind and soul
330,1,one win the misery olympics tip from highly successful woman percentconf cheerleader cat herder den mother
331,0,when the homies win let you out the group chat bless
332,0,the site down for maintenance
333,0,any way get the phone ship fast deepfin owner writer humor sport be what you find here magic noles jaguar redsox unf dadlife vaping brother
334,1,sometimes get away from family just sit the loo for four hour straight your like the only one twitter whos funny course
335,1,this company want sponsor and be put them hold with the promo work not because don like them just busy creative director visual artist social medium coordinator influencer stylist youtuber bookroxyayala com instagram officialroxyayala
336,0,but why those easy exam cost much the praxis cheap and top off have pay extra just get certified lol shakespearean ucc alumnus dominican esl teacher musician newark new jersey bear raise kean spursnation
337,0,because tell him you be tell the truth the flock will fly again all hail dolan alla quackbar
